250000, 104897582
250000, 44896193
250000, 67954015
250000, 41452518
250000, 67555831
250000, 43378358
250000, 41346031
250000, 45922712
250000, 68478801
250000, 47716207
500000, 125830725
500000, 80257258
500000, 154953940
500000, 96287510
500000, 155580574
500000, 97762392
500000, 194571762
500000, 76662414
500000, 126857399
500000, 77089918
1000000, 168821624
1000000, 193903297
1000000, 193984300
1000000, 195536371
1000000, 196145408
1000000, 167598991
1000000, 250313767
1000000, 215449756
1000000, 182579525
1000000, 191683878
