0, 200322547 
0, 207447482 
0, 197546780 
0, 201465860 
0, 199252090 
50000, 198276665 
50000, 197396876 
50000, 199012148 
50000, 194239404 
50000, 201767791 
100000, 224334540 
100000, 230100161 
100000, 224392814 
100000, 229141370 
100000, 233359879 
150000, 235502570
150000, 248400561
150000, 252120998
150000, 241321162
150000,	240379807
200000, 266453410 
200000, 369214605 
200000, 272120897 
200000, 282834425 
200000, 271272107 
300000, 300243996
300000, 300199713
300000, 305602410
300000, 404269466
300000, 306497642
400000, 361380673 
400000, 365009615 
400000, 361523519 
400000, 348837998 
400000, 353027228 
